Page,0,1,2,3,4,5,6,7,8,9,10,11
4,"Ⅰ. 전형 요약 및 주요 변경 사항  
 05
Ⅱ. 모집단위 및 계열별 입학정원  
 07
Ⅲ. 전형별 모집인원  
 10
Ⅳ. 원서접수 및 전형일정, 합격자 발표 및 등록 안내  
 13
Ⅴ. 세부 전형별 안내  
 16
수능(KU일반학생)•16
수능(기초생활및차상위)•22
수능(농어촌학생)•25
수능(특성화고교졸업자)•29
Ⅴ–1. 제출서류 안내  
 32
Ⅵ. 대학수학능력시험 성적 반영방법  
 34
Ⅶ. 학교폭력 조치사항 반영방법  
 36
Ⅷ. 지원자 유의사항  
 37
Ⅸ. 전형료  
 39
Ⅹ.  동점자 처리기준  
 40
.  학사 안내:  장학, 학사, 진로/취업/창업,  
Ⅹ
Ⅰ
국제교류 프로그램, 기숙사  
 41",,,,,,,,,,,
5,"전형명
정원 구분
계열",,,,,"전형방법
모집인원
(반영요소 및 반영비율)",,,,,,
5,수능,KU일반학생,가군,내,"인문/자연/
KU자유전공학부",•수능 100%,349,,,,,
5,,,,,예체능,•수능 60% + 실기 40%,67,,,,,
5,,,나군,내,인문/자연,•수능 100%,420,,,,,
5,,,,,예체능,•수능 60% + 실기 40%,146,,,,,
5,,,다군,내,인문/자연,•수능 100%,192,,,,,
5,,,,,예체능,•수능 60% + 실기 40%,34,,,,,
5,,기초생활및차상위,가군,외,인문/자연,•수능 100%,18,,,,,
5,,,나군,외,,,39,,,,,
5,,,다군,외,,,7,,,,,
5,,농어촌학생,가군,외,인문/자연,•수능 100%,27,,,,,
5,,,나군,외,,,44,,,,,
5,,,다군,외,,,8,,,,,
5,,특성화고교졸업자,,외,공통,•수능 100%,수시 미충원 인원,,,,,
5,합계,,,,,,"1,351",,,,,
5,구분,,수능,,,,,,,,,
5,,,KU일반학생,기초생활및차상위,농어촌학생,특성화고교졸업자,,,,,,
5,국내 고교,일반고,◯,◯,◯,×,,,,,,
5,,자율고,◯,◯,◯,×,,,,,,
5,,특수목적고,◯,◯,×,×,,,,,,
5,,영재학교,◯,◯,×,×,,,,,,
5,,특성화고,◯,◯,×,◯,,,,,,
5,고등학교 졸업과 동등 이상 학력자,,◯,◯,×,×,,,,,,
6,구조개편 전,,,구조개편 후,,,,,,,,
6,단과대학,모집단위,"정원
(정원 내)","정원
단과대학
모집단위
(정원 내)",,,,,,,,
6,건축대학,"건축학전공
건축학부
건축공학전공",76,건축대학,"건축학전공(5년제)
건축학부
건축공학전공",76,,,,,,
6,,,,,,,,,,,,
6,공과대학,화공학부,62,공과대학,화공·생명·에너지공학부,62,,,,,,
6,,신산업융합학과,1,,산업경영융합학부,"0
(정원 외 
인원으로 선발)",,,,,,
6,,K뷰티산업융합학과,1,,,,,,,,,
6,사회과학대학,"사회과학대학
융합전공학부",74,사회과학대학,"사회과학대학
융합전공학부",76,,,,,,
6,구분,,2025학년도,,,,,,,,,
6,단과대학,모집단위,"가
나",,다,,,,,,,
6,문과대학,미디어커뮤니케이션학과,,,5,,,,,,,
6,공과대학,전기전자공학부,65,,,,,,,,,
6,,컴퓨터공학부,49,,,,,,,,,
6,가,나,다,,,,,,,,,
6,,5,,,,,,,,,,
6,,,63,,,,,,,,,
6,,,47,,,,,,,,,
7,단과대학,모집단위,계열,"모집인원
(정원 내)",학과 및 전공,,,,,,,
7,문과대학,국어국문학과,인문,30,국어국문학과,,,,,,,
7,,영어영문학과,인문,45,영어영문학과,,,,,,,
7,,중어중문학과,인문,29,중어중문학과,,,,,,,
7,,철학과,인문,25,철학과,,,,,,,
7,,사학과,인문,25,사학과,,,,,,,
7,,지리학과,인문,25,지리학과,,,,,,,
7,,미디어커뮤니케이션학과,인문,31,미디어커뮤니케이션학과,,,,,,,
7,,문화콘텐츠학과,인문,27,문화콘텐츠학과,,,,,,,
7,,문과대학자유전공학부,인문,49,문과대학자유전공학부,,,,,,,
7,이과대학,수학과,자연,25,수학과,,,,,,,
7,,물리학과,자연,41,물리학과,,,,,,,
7,,화학과,자연,25,화학과,,,,,,,
7,,이과대학자유전공학부,자연,24,이과대학자유전공학부,,,,,,,
7,건축대학,건축학부,자연,76,건축학부,"건축학전공(5년제)
건축공학전공",,,,,,
7,공과대학,사회환경공학부,자연,100,사회환경공학부,"스마트시티전공
지속가능인프라전공
기후·에너지환경전공",,,,,,
7,,기계·로봇·자동차공학부,자연,70,기계·로봇·자동차공학부,"첨단융합기계전공
로봇전공
미래자동차전공",,,,,,
7,,전기전자공학부,자연,120,전기전자공학부,"통신및네트워크전공
디지털신호처리제어전공
RF/집적회로및반도체전공
에너지AI전공
e-모빌리티전공",,,,,,
7,,화공·생명·에너지공학부,자연,62,화공·생명·에너지공학부,"에코화공생명전공
미래에너지전공
첨단화공소재전공",,,,,,
8,단과대학,모집단위,계열,"모집인원
(정원 내)",학과 및 전공,,,,,,,
8,공과대학,컴퓨터공학부,자연,100,컴퓨터공학부,,"인공지능전공
실감미디어전공
스마트ICT융합전공
시스템소프트웨어전공
풀스택개발전공",,,,,
8,,재료공학과,자연,55,"첨단융합
공학부",재료공학과,"반도체·에너지재료전공
친환경·고분자재료전공",,,,,
8,,항공우주·모빌리티공학과,자연,45,,"항공우주· 
모빌리티공학과","항공우주공학전공
스마트운행체공학전공",,,,,
8,,생물공학과,자연,42,,생물공학과,"바이오프로세스전공
바이오머티어리얼스전공
화장품공학전공",,,,,
8,,산업공학과,자연,32,,산업공학과,"스마트팩토리전공
비즈니스애널리틱스전공",,,,,
8,,산업경영융합학부,인문,0,산업경영융합학부,,"산업융합전공
벤처창업전공
디지털혁신전공",,,,,
8,,공과대학자유전공학부,자연,195,공과대학자유전공학부,,,,,,,
8,사회과학대학,정치외교학과,인문,30,정치외교학과,,,,,,,
8,,경제학과,인문,72,경제학과,,,,,,,
8,,행정학과,인문,52,행정학과,,,,,,,
8,,국제무역학과,인문,59,국제무역학과,,,,,,,
8,,응용통계학과,인문,40,응용통계학과,,,,,,,
8,,사회과학대학융합전공학부,인문,76,사회과학대학융합전공학부,,,,,,,
8,경영대학,경영학과,인문,146,경영학과,,,,,,,
8,,기술경영학과,인문,34,기술경영학과,,,,,,,
8,부동산과학원,부동산학과,인문,38,부동산학과,,,,,,,
8,융합과학기술원,첨단바이오공학부,자연,45,첨단바이오공학부,,"줄기세포재생공학전공
의생명공학전공
첨단동물생명공학전공",,,,,
8,,시스템생명공학과,자연,26,생명공학부,,시스템생명공학과,,,,,
8,,융합생명공학과,자연,26,,,융합생명공학과,,,,,
8,,융합과학기술원자유전공학부,자연,33,융합과학기술원자유전공학부,,,,,,,
9,단과대학,모집단위,계열,"모집인원
(정원 내)",학과 및 전공,,,,,,,
9,생명과학대학,동물자원·식품과학·유통학부,자연,95,동물자원·식품과학·유통학부,"동물자원전공
식품과학전공
식품유통전공",,,,,,
9,,환경보건·산림조경학부,자연,52,환경보건·산림조경학부,"환경보건전공
산림조경전공",,,,,,
9,,생명과학특성학과,자연,32,생명과학특성학과,,,,,,,
9,,식량자원과학과,자연,30,식량자원과학과,,,,,,,
9,,생명과학대학자유전공학부,자연,46,생명과학대학자유전공학부,,,,,,,
9,수의과대학,수의예과,자연,69,수의예(학)과,,,,,,,
9,예술디자인대학,커뮤니케이션디자인학과,예체능,39,커뮤니케이션디자인학과,,,,,,,
9,,산업디자인학과,예체능,34,산업디자인학과,,,,,,,
9,,의상디자인학과–인문계,인문,17,의상디자인학과,,,,,,,
9,,의상디자인학과–예체능계,예체능,17,,,,,,,,
9,,리빙디자인학과,예체능,45,리빙디자인학과,,,,,,,
9,,현대미술학과,예체능,32,현대미술학과,,,,,,,
9,,영상학과,예체능,35,영상학과,,,,,,,
9,,매체연기학과,예체능,25,매체연기학과,,,,,,,
9,사범대학,일어교육과,인문,22,일어교육과,,,,,,,
9,,수학교육과,자연,25,수학교육과,,,,,,,
9,,체육교육과,예체능,38,체육교육과,,,,,,,
9,,음악교육과,예체능,20,음악교육과,,,,,,,
9,,교육공학과,인문,25,교육공학과,,,,,,,
9,,영어교육과,인문,20,영어교육과,,,,,,,
9,상허교양대학,KU자유전공학부,인문/자연,308,KU자유전공학부,,,,,,,
9,합계,※ 2024학년도 이월 인원 1명 포함,,"3,001",,,,,,,,
10,단과대학,모집단위,계열,수능(정원 내),,,수능(정원 외),,,,,
10,,,,KU일반학생,,,기회균형특별전형,,,,,
10,,,,,,,기초생활및차상위,,,농어촌학생,,
10,,,,가군,나군,다군,가군,나군,다군,가군,나군,다군
10,문과대학,국어국문학과,인문,,6,,,1,,,1,
10,,영어영문학과,인문,,6,,,2,,,2,
10,,중어중문학과,인문,,5,,,1,,,1,
10,,철학과,인문,,3,,,1,,,1,
10,,사학과,인문,,4,,,1,,,1,
10,,지리학과,인문,,3,,,1,,,1,
10,,미디어커뮤니케이션학과,인문,,5,,,1,,,1,
10,,문화콘텐츠학과,인문,,6,,,1,,,1,
10,,문과대학자유전공학부,인문,,,,4,,,4,,
10,이과대학,수학과,자연,,8,,,1,,,1,
10,,물리학과,자연,12,,,2,,,2,,
10,,화학과,자연,,9,,,1,,,1,
10,,이과대학자유전공학부,자연,,,,,,,,,
10,건축대학,건축학부,자연,39,,,2,,,2,,
10,공과대학,사회환경공학부*,자연,,42,,,3,,,3,
10,,기계·로봇·자동차공학부*,자연,37,,,2,,,3,,
10,,전기전자공학부*,자연,,,63,,,3,,,4
10,,화공·생명·에너지공학부*,자연,30,,,2,,,3,,
10,,컴퓨터공학부,자연,,,47,,,3,,,3
10,,재료공학과*,자연,26,,,1,,,1,,
10,,항공우주·모빌리티공학과*,자연,25,,,1,,,1,,
10,,생물공학과,자연,15,,,1,,,1,,
10,,산업공학과*,자연,,16,,,1,,,1,
10,,산업경영융합학부,인문,,,,,,,,,
10,,공과대학자유전공학부,자연,,,60,,,,,,
11,단과대학,모집단위,계열,수능(정원 내),,,수능(정원 외),,,,,
11,,,,KU일반학생,,,기회균형특별전형,,,,,
11,,,,,,,기초생활및차상위,,,농어촌학생,,
11,,,,가군,나군,다군,가군,나군,다군,"가군
나군
다군",,
11,사회과학대학,정치외교학과,인문,,13,,,1,,,1,
11,,경제학과,인문,,32,,,2,,,3,
11,,행정학과,인문,,25,,,2,,,2,
11,,국제무역학과,인문,32,,,1,,,2,,
11,,응용통계학과,인문,,18,,,1,,,1,
11,,사회과학대학융합전공학부,인문,,2,,,,,,,
11,경영대학,경영학과,인문,,65,,,2,,,5,
11,,기술경영학과,인문,15,,,1,,,2,,
11,부동산과학원,부동산학과,인문,,14,,,1,,,1,
11,융합과학기술원,첨단바이오공학부,자연,,19,,,5,,,4,
11,,시스템생명공학과,자연,,,11,,,,,,
11,,융합생명공학과,자연,,,11,,,1,,,1
11,,융합과학기술원자유전공학부,자연,,,,,,,,,
11,생명과학대학,동물자원·식품과학·유통학부,자연,,42,,,4,,,5,
11,,환경보건·산림조경학부,자연,,23,,,4,,,5,
11,,생명과학특성학과,자연,,12,,,1,,,1,
11,,식량자원과학과,자연,,12,,,1,,,1,
11,,생명과학대학자유전공학부,자연,,,,,,,,,
11,수의과대학,수의예과,자연,39,,,1,,,6,,
11,예술디자인대학,커뮤니케이션디자인학과,예체능,,39,,,,,,,
11,,산업디자인학과,예체능,,,34,,,,,,
11,,의상디자인학과–인문계,인문,,17,,,,,,,
11,,의상디자인학과–예체능계,예체능,,17,,,,,,,
11,,리빙디자인학과,예체능,,45,,,,,,,
11,,현대미술학과,예체능,32,,,,,,,,
11,,영상학과,예체능,35,,,,,,,,
11,,매체연기학과,예체능,,,,,,,,,
12,단과대학,모집단위,계열,수능(정원 내),,,수능(정원 외),,,,,
12,,,,KU일반학생,,,기회균형특별전형,,,,,
12,,,,,,,기초생활및차상위,,,농어촌학생,,
12,,,,가군,나군,다군,가군,나군,다군,가군,나군,다군
12,사범대학,일어교육과,인문,3,,,,,,,,
12,,수학교육과,자연,8,,,,,,,,
12,,체육교육과,예체능,,25,,,,,,,
12,,음악교육과–성악,예체능,,7,,,,,,,
12,,음악교육과–피아노,예체능,,7,,,,,,,
12,,음악교육과–바이올린,예체능,,4,,,,,,,
12,,음악교육과–비올라,예체능,,1,,,,,,,
12,,음악교육과–첼로,예체능,,1,,,,,,,
12,,교육공학과,인문,,13,,,,,,,
12,,영어교육과,인문,8,,,,,,,,
12,상허교양대학,KU자유전공학부,인문/자연,60,,,,,,,,
12,합계,,,416,566,226,18,39,7,27,44,8
14,구분,전형명,,일정,비고,,,,,,,
14,원서접수,전체 전형,,"2025.  12. 29.(월) 10:00 ~  
12. 31.(수) 17:00","•  원서접수 사이트에서  
인터넷 접수",,,,,,,
14,"서류제출
(PDF 업로드)",전체 전형,,"2025. 12. 29.(월) 10:00 ~ 
2026. 1. 2.(금) 17:00","•  원서접수 사이트에  
PDF 업로드
•  우편과 방문 제출 모두 불가",,,,,,,
14,실기고사,가군,현대미술학과,2026. 1. 12.(월),"•  세부 일정, 고사장 및  
입실 완료 시간 등은  
고사 3~4일 전  
본교 입학처 홈페이지에 공고",,,,,,,
14,,,영상학과,,,,,,,,,
14,,나군,커뮤니케이션디자인학과,2026. 1. 13.(화),,,,,,,,
14,,,의상디자인학과-예체능계,,,,,,,,,
14,,,리빙디자인학과,,,,,,,,,
14,,,체육교육과,2026.  1. 14.(수) ~ 1. 16.(금)*,,,,,,,,
14,,,음악교육과,2026. 1. 20.(화),,,,,,,,
14,,다군,산업디자인학과,2026. 1. 21.(수),,,,,,,,
14,최초합격자 발표,전체 전형,,2026.  2. 2.(월) 14:00,•  본교 입학처 홈페이지에 공고,,,,,,,
14,최초합격자 등록,전체 전형,,"2026.  2. 3.(화) 10:00 ~  
2. 5.(목) 14:00",•  수시모집 본 등록 포함,,,,,,,
14,추가합격자 발표,전체 전형,,"2026.  2. 6.(금) 16:00 ~  
2. 12.(목) 18:00","•  세부 사항은 본교 입학처 
홈페이지에 추후 공고",,,,,,,
14,추가합격자 등록,전체 전형,,"2026.  2. 6.(금) 16:00 ~  
2. 13.(금) 14:00",,,,,,,,
14,구분,일시,비고,,,,,,,,,
14,최초합격자 발표,2026. 2. 2.(월) 14:00 예정,•본교 입학처 홈페이지에 공고,,,,,,,,,
14,최초합격자 등록,2026. 2. 3.(화) 10:00 ~ 2. 5.(목) 14:00,•수시모집 본 등록 포함,,,,,,,,,
15,차수,발표일시,등록기간,발표방법,,,,,,,,
15,1차,2026. 2. 6.(금) 16:00 예정,2026. 2. 6.(금) 16:00 ~ 2. 9.(월) 10:00,"•입학처 홈페이지 공지
※  개별 전화 통보 일정은  
추후 홈페이지를 통하여 안내",,,,,,,,
15,2차 이후,2026. 2. 9.(월) ~ 2. 12.(목) 18:00,2026. 2. 9.(월) ~ 2. 13.(금) 14:00,,,,,,,,,
15,구분,일정,비고,,,,,,,,,
15,최초합격자,2026. 2. 3.(화) 10:00 ~ 2. 5.(목) 14:00,"• 합격차수별 등록금 납부 기간은 합격자 조회 시  
합격자 유의사항을 통해 안내
※  기한 내에 등록금을 납부하지 않을 경우 등록 의사가  
없는 것으로 간주하여, 별도의 통보 없이 해당 합격을 취소함",,,,,,,,,
15,추가합격자,2026. 2. 6.(금) 16:00 ~ 2. 13.(금) 14:00,,,,,,,,,,
16,모 집 군,단과대학,계열,모집단위,인원,,,,,,,
16,다 군,공과대학,자연,전기전자공학부,63,,,,,,,
