0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,없음,없음,없음,없음,없음,,,,,,,,,,,,,,,,,,
1,1,없음,없음,없음,없음,,,,,,,,,,,,,,,,,,
1,1,1,없음,없음,없음,,,,,,,,,,,,,,,,,,
1,1,1,1,없음,없음,,,,,,,,,,,,,,,,,,
1,1,1,1,1,없음,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
2,1,1,,,,,,,,,,,,,,,,,,,,,
2,2,1,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,,,,,,,
5,전형명,2,정원 구분,계열,"전형방법
(반영요소 및 반영비율)",모집인원,,,,,,,,,,,,,,,,,
5,학생부교과,KU지역균형,내,공통,·학생부(교과정량) 70% + 학생부(교과정성) 30%,"전형방법
(반영요소 및 반영비율)",,,,,,,,,,,,,,,,,
5,학생부종합,KU자기추천,내,공통,"·1단계: 서류 100%(3배수)
·2단계: 1단계 성적 70% + 면접 30%",·학생부(교과정량) 70% + 학생부(교과정성) 30%,,,,,,,,,,,,,,,,,
5,5,특수교육대상자,외,공통,공통,"·1단계: 서류 100%(3배수)
·2단계: 1단계 성적 70% + 면접 30%",,,,,,,,,,,,,,,,,
5,5,사회통합,내,공통,·서류 70% + 학생부(교과정량) 30%,공통,,,,,,,,,,,,,,,,,
5,5,특성화고교졸업자,외,공통,공통,·서류 70% + 학생부(교과정량) 30%,,,,,,,,,,,,,,,,,
5,5,특성화고졸재직자,외,공통,공통,공통,,,,,,,,,,,,,,,,,
5,논술,KU논술우수자,내,공통,·논술 100%(수능최저학력기준 적용),공통,,,,,,,,,,,,,,,,,
5,실기/실적,KU연기우수자,내,예체능,"·1단계: 학생부(교과정량) 100%(25배수)
·2단계: 실기 100%",·논술 100%(수능최저학력기준 적용),,,,,,,,,,,,,,,,,
5,5,KU체육특기자,내,예체능,"·1단계: 경기실적 100%(6배수)
·2단계: 1 단계 성적 50% + 학생부(교과정량) 15% +
학생부(출결정량) 5% + 면접 30%","·1단계: 학생부(교과정량) 100%(25배수)
·2단계: 실기 100%",,,,,,,,,,,,,,,,,
5,총계,5,KU체육특기자,내,예체능,"1,975",,,,,,,,,,,,,,,,,
6,구분,총계,"학생부
교과",학생부종합,내,예체능,"1,975",없음,논술,실기/실적,없음,,,,,,,,,,,,
6,6,구분,"KU
지역
균형","KU
자기
추천","사회
통합","특성화
고교
졸업자","특성화
고졸
재직자","특수
교육
대상자","KU
논술
우수자","KU
연기
우수자","KU
체육
특기자",,,,,,,,,,,,
6,"국내
고교",일반고,O,O,O,X,X,O,O,O,"KU
연기
우수자",,,,,,,,,,,,
6,6,자율고,O,O,O,X,X,O,O,O,O,,,,,,,,,,,,
6,6,특수목적고,"1)
△",O,O,X,"2)
△",O,O,O,O,,,,,,,,,,,,
6,6,영재학교,X,O,"3)
△",X,X,O,O,X,O,,,,,,,,,,,,
6,6,특성화고,X,O,"4)
△",O,O,O,O,O,X,,,,,,,,,,,,
6,"고등학교 졸업과
동등 이상 학력자",6,X,O,"4)
△",X,X,O,O,O,O,,,,,,,,,,,,
6,전형명,"고등학교 졸업과
동등 이상 학력자",평가방법,X,O,"4)
△",제출서류,X,O,,,,,,,,,,,,,,
6,6,전형명,서류,"학생부
(교과정성)","학생부
(교과정량)",면접,입학원서,"학교생활
기록부",기타,,,,,,,,,,,,,,
