Type,Page,Content
Page,1,"2025학년도
건국대학교 수시모집요강
서울캠퍼스 ✽ 글로컬캠퍼스"
Page,2,"KU•SEOUL•CAMPUS
새로운 100년을 위해
THE NEW
KONKUK
2 건국대학교 서울캠퍼스"
Page,3,"KU•SEOUL•CAMPUS
청춘! 미래를 향한 첫걸음. 건국이 함께합니다.
건국대학교는 앞으로의 100년을 짊어지고 활약한 창조적 혁신 인재들을 양성하고 있습니다.
창조적인 교육 프로그램과 앞선 인프라로 미래 인재로 성장하는 건국인들과 함께 나아가겠습니다.
건국! 세계를 무대로 활약할 대한민국 청춘들과 함께합니다.
PIONEER 04
2025학년도 서울캠퍼스 수시모집요강
SEOUL CAMPUS
INNOVATION 82
글로컬캠퍼스만의 차별화된 학사 안내
GLOCAL CAMPUS 84
2025학년도 글로컬캠퍼스 수시모집요강
2025학년도 수시모집요강 3"
Page,4,"KU•SEOUL•CAMPUS
2025학년도 서울캠퍼스 수시모집요강
CONTENTS
Ⅰ. 전형 요약 및 주요 변경 사항 05
Ⅱ. 모집단위별 모집인원 13
Ⅲ. 전형별 모집인원 16
Ⅳ. 원서접수 및 전형일정, 합격자 발표 및 등록 안내 19
Ⅴ. 세부 전형별 안내 23
23
학생부교과(KU지역균형)
26
학생부종합(KU자기추천)
30
학생부종합(사회통합)
36
학생부종합(특성화고교졸업자)
40
학생부종합(특성화고졸재직자)
43
학생부종합(특수교육대상자)
47
논술(KU논술우수자)
51
실기/실적(KU연기우수자)
54
실기/실적(KU체육특기자)
Ⅴ-1. 제출서류 안내 58
Ⅵ. 학생부위주전형 안내 60
Ⅶ. 학생부(교과정량) 반영방법 65
Ⅷ. 지원자 유의사항 67
Ⅸ. 전형료 69
Ⅹ. 학 교생활 안내: 장 학, 학사, 진로/취업,
국제교류 프로그램, 기숙사 71
[부록] 제출서류 서식 78
QR코드를
스캔하라KU!
QR코드를 스캔하고 더 자세한 입학 정보를 확인하세요!
4 건국대학교 서울캠퍼스"
Page,5,"KU•SEOUL•CAMPUS
Ⅰ. 전형 요약 및 주요 변경 사항
1. 전형 요약
■ 전형별 전형방법 및 모집인원
전형방법
전형명 정원 구분 계열 모집인원
(반영요소 및 반영비율)
학생부교과 KU지역균형 내 공통 ·학생부(교과정량) 70% + 학생부(교과정성) 30% 470
KU자기추천 내 공통 813
·1단계: 서류 100%(3배수)
·2단계: 1단계 성적 70% + 면접 30%
특수교육대상자 외 공통 20
학생부종합 사회통합 내 공통 87
특성화고교졸업자 외 공통 ·서류 70% + 학생부(교과정량) 30% 22
특성화고졸재직자 외 공통 130
논술 KU논술우수자 내 공통 ·논술 100%(수능최저학력기준 적용) 395
·1단계: 학생부(교과정량) 100%(25배수)
KU연기우수자 내 예체능 25
·2단계: 실기 100%
실기/실적
·1단계: 경기실적 100%(6배수)
KU체육특기자 내 예체능 ·2단계: 1 단계 성적 50% + 학생부(교과정량) 15% + 13
학생부(출결정량) 5% + 면접 30%
총계 1,975
2025학년도 수시모집요강 5"
Page,6,"KU•SEOUL•CAMPUS
■ 전형별 지원자격 요약
학생부
학생부종합 논술 실기/실적
교과
구분
KU KU 특성화 특성화 특수 KU KU KU
사회
지역 자기 고교 고졸 교육 논술 연기 체육
통합
균형 추천 졸업자 재직자 대상자 우수자 우수자 특기자
일반고 O O O X X O O O O
자율고 O O O X X O O O O
국내 1) 2)
특수목적고 △ O O X △ O O O O
고교
3)
영재학교 X O △ X X O O X X
4)
특성화고 X O △ O O O O O O
고등학교 졸업과 4)
X O △ X X O O O O
동등 이상 학력자
「 」
※ 자세한 지원자격은 P.23 Ⅴ. 세부 전형별 안내 참고
1) 과학고, 외국어고, 국제고 가능
2) 산업수요맞춤형고(마이스터고) 가능
3) 기초생활및차상위 가능
4) 국가보훈대상자, 기초생활및차상위 가능
■ 학생부위주전형 평가방법 및 제출서류 요약
평가방법 제출서류
전형명
학생부 학생부 학교생활
서류 면접 입학원서 기타
(교과정성) (교과정량) 기록부
학교장
학생부교과 KU지역균형 X O O X O O
추천명단
KU자기추천 O X X O O O X
사회통합 O X O X O O
학생부종합 특성화고교졸업자 O X O X O O
지원자격
서류
특성화고졸재직자 O X O X O O
특수교육대상자 O X X O O O
「 」
※ 자세한 안내는 P.23 Ⅴ. 세부 전형별 안내 참조
6 건국대학교 서울캠퍼스"
Page,7,"KU•SEOUL•CAMPUS
■ 전형별 전형요소 및 반영비율 요약
단계별 전형 일괄합산 전형
학생부
학생부종합 실기/실적 학생부종합 논술
교과
구분
KU 특수 KU KU KU 특성화 특성화 KU
사회
자기 교육 연기 체육 지역 고교 고졸 논술
통합
추천 대상자 우수자 특기자 균형 졸업자 재직자 우수자
학생부 100%
- - - 70% 30% -
(교과정량) (25배수)
학생부
- - - - 30% - -
(교과정성)
1단계 100% 100%
서류 - - - 70% -
(3배수) (3배수)
논술 - - - - - - 100%
100%
경기실적 - - - - - -
(6배수)
1단계 성적 70% 70% - 50%
면접 30% 30% - 30%
실기 - - 100% -
2단계
학생부
- - - 15%
(교과정량)
학생부
- - - 5%
(출결정량)
2025학년도 수시모집요강 7"
Page,8,"KU•SEOUL•CAMPUS
2. 주요 변경 사항
■ 무전공 및 단과대 자유전공학부 신설
구분 모집단위 모집인원(정원내) 합계
무전공 KU자유전공학부 308 308
문과대학자유전공학부 49
이과대학자유전공학부 24
공과대학자유전공학부 195
단과대
422
자유전공학부
사회과학대학융합전공학부 75
융합과학기술원자유전공학부 33
생명과학대학자유전공학부 46
※ KU자유전공학부(무전공) 선택 불가 모집단위
• 수의과대학, 예술디자인대학, 사범대학의 전체 모집단위
• 공과대학: 신산업융합학과, K뷰티산업융합학과(특성화고졸재직자전형으로만 선발)
※ 단과대 자유전공학부 선택 불가 모집단위
• 문과대학자유전공학부: 미디어커뮤니케이션학과, 문화콘텐츠학과
• 사회과학대학융합전공학부: 경제학과
• 생명과학대학자유전공학부: 식량자원과학과
• 공과대학: 신산업융합학과, K뷰티산업융합학과(특성화고졸재직자전형으로만 선발)
8 건국대학교 서울캠퍼스"
Page,9,"KU•SEOUL•CAMPUS
■ 학사구조 개편에 따른 학과 변경
2024학년도 [구조개편 전] 2025학년도 [구조개편 후]
모집인원 모집인원
단과대학 모집단위 모집단위 단과대학
(정원내) (정원내)
KU융합과학기술원 미래에너지공학과 40
화공학부 62
화학공학부 160
재료공학과 55
공과대학
기계·로봇·자동차공학부 70
기계항공공학부 151
항공우주·모빌리티공학과 45 공과대학
스마트운행체공학과 40
KU융합과학기술원
화장품공학과 40
생물공학과 42
생물공학과 30
공과대학
컴퓨터공학부 143
컴퓨터공학부 100
스마트ICT융합공학과 40
KU융합과학기술원 줄기세포재생공학과 43
첨단바이오공학부 45 융합과학기술원
의생명공학과 40
동물자원과학과 49
축산식품생명공학과 46 동물자원·식품과학·유통학부 95
상허생명과학대학 식품유통공학과 30 생명과학대학
환경보건과학과 34
환경보건·산림조경학부 52
산림조경학과 34
융합인재학과 38 (폐지)
사회과학대학
글로벌비즈니스학과 28 (폐지)
2025학년도 수시모집요강 9"
Page,10,"KU•SEOUL•CAMPUS
■ 학교폭력 조치사항 반영
• 모든 전형에 학교폭력 조치사항 감점표 적용
전형 2024학년도 2025학년도
[KU체육특기자] 학교폭력 조치사항을 면접에서
실기/실적위주
정성평가로 반영
학교폭력 조치사항 기재항목에 따른 감점표로
학생부종합 서류평가 및 면접평가에서 정성평가로 반영
총점에서 감점
학생부교과
-
논술위주
※ 학 교폭력 조치사항 확인을 위하여 최종 학력이 ‘검정고시 또는 국외고 출신’인 지원자 중 국내 고교 학교생활기록부가 있는 자는 국내 고교
학교생활기록부를 제출해야 함
• 학교폭력 감점표: 전형별 총점 1,000점에서 감점
「 」
학교폭력예방 및 대책에 관한 법률 제17조 제1항 감점비율
제1호 (피해학생에 대한 서면사과) 감점 없음
제2호 (피해학생 신고·고발 학생에 대한 접촉, 협박 및 보복행위의 금지) 20점(2%)
제3호 (학교에서의 봉사) 30점(3%)
제4호 (사회봉사) 200점(20%)
제5호 (학내외 전문가에 의한 특별교육 이수 또는 심리치료) 300점(30%)
제6호 (출석정지)
제7호 (학급교체)
500점(50%)
제8호 (전학)
제9호 (퇴학처분)
■ 학생부종합(기초생활및차상위) 전형방법 변경
구분 2024학년도 2025학년도
모집시기 수시 정시
전형유형 학생부종합 수능위주
전형방법 서류평가 70% + 학생부(교과) 30% 수능 100%
■ 논술(KU논술우수자) 수능최저학력기준 반영과목 변경
구분 2024학년도 2025학년도 공통
인문 국, 수, 영, 사/과탐(1과목) 중 2개 등급 합 5
자연 국, 수, 영, 과탐(1과목) 중 2개 등급 합 5 국, 수, 영, 사/과탐(1과목)* 중 2개 등급 합 5
한국사 5등급
KU자유전공학부 -
수의예과 국, 수, 영, 과탐(1과목) 중 3개 등급 합 4 국, 수, 영, 사/과탐(1과목)* 중 3개 등급 합 4
[인문] 선택과목 제한없음
[인문·자연·수의예과·KU자유전공학부]
[자연·수의예과]
비고 선택과목 지정 폐지 -
·수학: 미적분 또는 기하 중 택1
*사/과탐: 2 과목을 응시하여 그중 높은 과목 반영
·탐구: 과학과목 중 2과목 응시
10 건국대학교 서울캠퍼스"
