Page,0,1,2,3,4,5,6,7,8,9,10,11,12
6,구분,수시,정시,,,,,,,,,,
6,,"학생부종합
학생부교과
논술위주
실기/실적위주","수능위주
학생부위주",,,,,,,,,,
6,2025,"36.2%
1,498명
10.0%
415명
9.4%
391명
2.6%
106명","40.0%
1,656명
0.1%
4명",,,,,,,,,,
6,2026,"36.3%
1,502명
10.0%
416명
9.3%
386명
2.6%
106명","40.0%
1,657명
0.1%
4명",,,,,,,,,,
6,전형,모집군,반영	방법,,,,,,,,,,
6,일반,가 / 다,"국어 / 수학영역 표준점수, 영어영역 등급에 따른 변환표준점수, 탐구영역 백분위에 따른 변환표준점수 반영",,,,,,,,,,
6,,나,"국어 / 수학 / 탐구영역 백분위, 영어영역 등급에 따른 변환백분위 반영",,,,,,,,,,
6,특별,가 / 나 / 다,"국어 / 수학 / 탐구영역 백분위, 영어영역 등급에 따른 변환백분위 반영",,,,,,,,,,
6,모집단위,가	군,나	군,,다	군,,,,,,,,
6,,"일반전형
(수능위주)","일반전형
(수능위주)","정원외	농어촌학생
(수능위주)","일반전형
(수능위주)",,,,,,,,
6,배터리학과,-,-,-,12,,,,,,,,
6,바이오신약·규제과학과,-,16,통합선발,-,,,,,,,,
6,의예과,15,-,-,-,,,,,,,,
7,구분,정원내,정원외,,,,,,,,,,
7,,일반전형,특별전형,,,,,,,,,,
7,수능위주,"일반계열 1,465명
사범계열 60명
예체능계열 103명",농어촌학생 29명,,,,,,,,,,
7,학생부위주,-,특성화고졸재직자 4명,,,,,,,,,,
7,구분,전형유형,"대학수학
능력시험","학교생활
기록부","지원자격
확인자료",기타,,,,,,,
7,수능위주,일반전형 (일반계열),○,△*,-,-,,,,,,,
7,,일반전형 (사범계열),○,○,-,-,,,,,,,
7,,일반전형 (예체능계열),○,△*,-,"○
(실기시험)",,,,,,,
7,,특별전형 (농어촌학생),○,△*,○,-,,,,,,,
7,,특별전형 (기타),○,△*,○,-,,,,,,,
7,학생부위주,특별전형 (특성화고졸 재직자),-,○,○,"△ (선택)
(직무기술서)",,,,,,,
8,구분,,"수능위주
학생부위주",,,,,,,,,,
8,,,일반전형,,,,특별전형,,,,,,
8,,,"일반
계열","사범
계열",예체능계열,,"농어촌
학생",기타,"특성화고졸
재직자",,,,
8,,,,,"미술학과
/디자인학과",스포츠과학과,,,,,,,
8,"전형
요소",수능,100,80,60,80,100,100,-,,,,
8,,서류,-,-,-,-,,,100,,,,
8,,학생부,-,20,-,-,-,-,,,,,
8,,면접/실기,-,-,40,20,-,-,-,,,,
