Page,0,1,2,3,4,5,6,7,8,9,10,11,12
5,"▣  2026학년도  정시모집  예고사항  ▣ 
◯ 학교폭력조치사항을  수시  및  정시  모든  전형에  반영하며  반영  방식은  다음과  같음
수시모집
학생부위주
학생부교과전형
추천형
지원자격  제한
※  해외고(국외고)  및  검정고시  출신자의  경우에도  해당자(국내고등학교  재학사실이  있는  경우)에  한하여  위  기준에  따르며,  증빙자료 
제출  등은  대교협의  학교폭력조치사항  가이드라인을  따름
※  학교폭력조치사항  적용  최종  시점은  「2026학년도  대학입학전형기본사항」에  따른  학생부  작성  기준일로  함
    -  수시  2025.8.31.(일)/정시  2025.11.30.(일)  (단,  사안이  중대하거나  대입에  반영이  필요하다고  판단되는  사유가  있을  경우에는 
대학입학전형관리위원회  심의를  거쳐  적용  최종  시점을  결정할  수  있음)
◯ 일반전형  일반계열,  국제계열  학교생활기록부  평가  반영
    ∙  학교생활기록부(교과)는  전  과목을  반영하며  등급  또는  성취도별  점수를  부여함
    ∙  학교생활기록부(출결)은  미인정  출결에  대해  감점요소로  활용함
    ※  자세한  사항은  연세대학교  입학처  홈페이지  공지사항  「2026학년도  연세대학교(서울캠퍼스)  입학전형  시행계획」  참조
◯ 일반전형  예능계열  관현악과  관악전공  단계별  전형으로  변경
    ∙  예심  결과로  1단계  합격자  선발  후  2단계에서  실기평가  본심  결과와  수능시험  성적을  합산하여  총점  순으로  합격자를  선발함
◯ 체능계열  체육교육학과  실기평가  면제  신청  변경사항
구분
면제  신청  자격조건
면제  시  부여점수","학생부종합전형
활동우수형
국제형
기회균형
특수교육대상자
정성평가","2026학년도
2025학년도
원서접수  전  최근  3년간(요강  내  별도  기간  참조)  전국체전을  포함한  전국대회  3위  이상의  입상경력자
면제  신청  자격조건에  해당하는  지원자는 
평가위원들이  심의하여  실기평가 
점수(기본운동능력평가)를  85점  이상(100점  만점) 
부여하여  면제함.
그리고,  국내대회  실적  없이  국제대회  입상실적만 
제출하는  경우  심의를  통하여  면제여부를  결정함","논술위주
논술전형
논술전형
정량평가","실기/실적위주
특기자전형
국제인재
정성평가","체육인재
지원자격  제한","면제  신청  자격조건에  해당하는  지원자는  별도의 
심의  없이  실기평가(기본운동능력평가)를  면제하고 
기본운동능력  100점을  부여함.
다만,  국내대회  실적  없이  국제대회  입상실적만 
제출하는  경우  심의를  통하여  면제여부를  결정함","재외국민전형
중고교과정(2%)
전교육과정이수자
북한이탈주민
정성평가","정시모집
수능위주, 
실기/실적위주
모든  전형
정량평가",,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,"일반계열
1,359명(32명)
국제계열
107명
체능계열
51명","연세한마음학생
83명
농어촌학생
85명
특성화고교졸업자
24명
특수교육대상자(체능계열)
약간  명",,,,,,,,,,,
6,"1,517명(32명)",192명,,,,,,,,,,,
7,인문,유형  I,300,200,100,200,"사회탐구  과목  응시  시  해당과목의 
탐구변환점수에  3%  가산점  추가",,,,,,
7,자연,유형  II,200,300,,300,"과학탐구  과목  응시  시  해당과목의 
탐구변환점수에  3%  가산점  추가",,,,,,
7,"국제,  통합,  체능",유형  III,200,200,,100,별도  가산점  없음,,,,,,
7,예능,유형  IV,200,-,,-,별도  가산점  없음,,,,,,
7,모집단위,정원,수시,정시,,,,,,,,,
7,컴퓨터과학과,66,41,25,,,,,,,,,
7,인공지능학과,58,43,15,,,,,,,,,
7,IT융합공학과,20,15,5,,,,,,,,,
7,-,-,-,-,,,,,,,,,
7,합계,144,99,45,,,,,,,,,
7,모집단위,정원,수시,정시,,,,,,,,,
7,첨단컴퓨팅학부*  [통합],149,95,54,,,,,,,,,
7,IT융합공학전공**  [명칭변경],20,15,5,,,,,,,,,
7,지능형반도체전공  [신설],35,20,15,,,,,,,,,
7,합계,204,130,74,,,,,,,,,
7,"인공지능
융합대학","2025학년도
2024학년도
모집단위
첨단컴퓨팅학부*  [통합]
IT융합공학전공**  [명칭변경]
지능형반도체전공  [신설]
합계","정원
149
20
35
204","수시
95
15
20
130","모집단위
정시
컴퓨터과학과
54
인공지능학과
5
IT융합공학과
15
-
74
합계",,"정원
66
58
20
-
144","수시
41
43
15
-
99","정시
25
15
5
-
45",,,,
7,,,,,,,,,,,,,
